num_obra	cod_material	descricao	und_medida	qtdprevista	qtdrealizada	val_material	val_requisitado	nome
0112600055	90208	PARA-RAIOS DISTR BT POLIM 220V 10KA OX MT S/CENT RSI	UN	3	3	16,49	49,47	RIO SONO
0112600055	90212	PARA-RAIOS DISTR MT POLIM 30KV 10KA OX ZN S/CENT S/FERR	UN	3	3	182,19	546,57	RIO SONO
0112600055	90804	CONEC TERM CPR CB/BAR RT RLD ALUM 2F 3,09-4,10MM 145X25MM	UN	0	3	10,15	30,45	RIO SONO
0112600055	90826	CONEC TERM CPR CB/BAR RT RLD ALUM 1F 7,70-8,60MM 85X23MM	UN	0	3	4,89	14,67	RIO SONO
0112600055	90830	CONECT TERM ESTRANG CB/BAR ALUM 1F 36X14MM 5.80-6.00MM	UN	3	0	19,11	0	RIO SONO
0112600055	91198	TRANSF DISTR AER OVI 3F 34,5KV 380/220V 45KVA CL2 4TP	UN	1	1	14080,6	14080,6	RIO SONO
0112600055	660973	TERMINAL PRESS RETO BRONZE 1NEMA 10,5MM 50-70MM2	PC	6	0	29,3978	0	RIO SONO
0112600057	90208	PARA-RAIOS DISTR BT POLIM 220V 10KA OX MT S/CENT RSI	UN	3	3	16,49	49,47	LAGOA DO TOCANTINS
0112600057	90212	PARA-RAIOS DISTR MT POLIM 30KV 10KA OX ZN S/CENT S/FERR	UN	3	3	182,19	546,57	LAGOA DO TOCANTINS
0112600057	90500	ELO FUSIVEL DISTRIBUICAO TIPO H 3A 500MM	UN	3	3	5,1505	15,4515	LAGOA DO TOCANTINS
0112600057	91198	TRANSF DISTR AER OVI 3F 34,5KV 380/220V 45KVA CL2 4TP	UN	1	1	14080,6	14080,6	LAGOA DO TOCANTINS
0112600061	90069	TRANSF DISTR AER OMI 1F 19,919KV 440/220V 15KVA CL2 5TP	UN	1	1	5819,26	5819,26	APARECIDA DO RIO NEGRO
0112600061	90208	PARA-RAIOS DISTR BT POLIM 220V 10KA OX MT S/CENT RSI	UN	1	1	16,49	16,49	APARECIDA DO RIO NEGRO
0112600061	90212	PARA-RAIOS DISTR MT POLIM 30KV 10KA OX ZN S/CENT S/FERR	UN	1	1	182,19	182,19	APARECIDA DO RIO NEGRO
0112600061	90266	CABO ALUM PROT SPL XLPE 1F 15,0KV 50MM2 BLOQ CNZ	M	5	5	5,97	29,85	APARECIDA DO RIO NEGRO
0112600061	90272	CABO ALUM MULTIPLEX 0,6/1,0KV XLPE 1F 1X1X10MM2+10MM2	M	7	7	1,9	13,3	APARECIDA DO RIO NEGRO
0112600061	90340	CONECT TERM ESTRANG CB/BAR ALUM 1F 48X18MM 6.70-7.30MM	UN	2	2	19,62	39,24	APARECIDA DO RIO NEGRO
0112600061	90341	CONECT TERM ESTRANG CB/BAR ALUM 2F 106X22MM 9.00-9.70MM	UN	3	3	38,04	114,12	APARECIDA DO RIO NEGRO
0112600061	90353	CONECTOR DERIV PERF RSI CB/CB 1,0KV 16-120MM2/4,0-35MM2	UN	0	2	11,875	23,75	APARECIDA DO RIO NEGRO
0112600061	90497	ELO FUSIVEL DISTRIBUICAO TIPO H 0,5A 500MM	UN	1	1	5,1505	5,1505	APARECIDA DO RIO NEGRO
0112600061	90587	CONECTOR DERIV PERF RDP CB/CB 15,0KV 70-185MM2/70-185MM2	PC	2	2	109,81	219,62	APARECIDA DO RIO NEGRO
0112600061	90804	CONEC TERM CPR CB/BAR RT RLD ALUM 2F 3,09-4,10MM 145X25MM	UN	0	3	10,15	30,45	APARECIDA DO RIO NEGRO
0112600061	90826	CONEC TERM CPR CB/BAR RT RLD ALUM 1F 7,70-8,60MM 85X23MM	UN	0	2	4,89	9,78	APARECIDA DO RIO NEGRO
0112600061	91217	CABO COBRE ISOLAD 450/750V BWF/PVC 10MM2 CL2/4/5 PRT	M	0	7	7,08	49,56	APARECIDA DO RIO NEGRO
0112600061	92172	CONECTOR GRAMPO LINHA VIVA ALUM 34-170MM2/ESTRIBO 6,4MM 100A	UN	1	1	51,6737	51,6737	APARECIDA DO RIO NEGRO
0112600085	90069	TRANSF DISTR AER OMI 1F 19,919KV 440/220V 15KVA CL2 5TP	UN	1	1	5819,26	5819,26	LAJEADO
0112600085	90208	PARA-RAIOS DISTR BT POLIM 220V 10KA OX MT S/CENT RSI	UN	3	3	16,49	49,47	LAJEADO
0112600085	90210	PARA-RAIOS DISTR MT POLIM 12KV 10KA OX ZN S/CENT S/FERR	UN	1	1	109,41	109,41	LAJEADO
0112600085	90212	PARA-RAIOS DISTR MT POLIM 30KV 10KA OX ZN S/CENT S/FERR	UN	0	1	182,19	182,19	LAJEADO
0112600085	90497	ELO FUSIVEL DISTRIBUICAO TIPO H 0,5A 500MM	UN	1	1	5,1505	5,1505	LAJEADO
0112600101	90069	TRANSF DISTR AER OMI 1F 19,919KV 440/220V 15KVA CL2 5TP	UN	1	1	5819,26	5819,26	PALMAS
0112600101	90208	PARA-RAIOS DISTR BT POLIM 220V 10KA OX MT S/CENT RSI	UN	3	3	16,49	49,47	PALMAS
0112600101	90210	PARA-RAIOS DISTR MT POLIM 12KV 10KA OX ZN S/CENT S/FERR	UN	1	0	109,41	0	PALMAS
0112600101	90212	PARA-RAIOS DISTR MT POLIM 30KV 10KA OX ZN S/CENT S/FERR	UN	0	1	182,19	182,19	PALMAS
0112600101	90255	CORDOALHA ACO CARB CL A 7 FIOS MR 6,4MM 1430DAN	M	25	0	3,5893	0	PALMAS
0112600101	90257	CABO ACO COBREADO 1F LCA IACS53% 7X2,06MM 25MM2	KG	0	5	82,62	413,1	PALMAS
0112600101	90266	CABO ALUM PROT SPL XLPE 1F 15,0KV 50MM2 BLOQ CNZ	M	0	5	5,97	29,85	PALMAS
0112600101	90279	ISOLADOR BASTAO POLIM ANCOR 36.2KV 550MM 745MM 50KN GO	UN	1	1	52,2258	52,2258	PALMAS
0112600101	90341	CONECT TERM ESTRANG CB/BAR ALUM 2F 106X22MM 9.00-9.70MM	UN	3	3	38,04	114,12	PALMAS
0112600101	90353	CONECTOR DERIV PERF RSI CB/CB 1,0KV 16-120MM2/4,0-35MM2	UN	0	2	11,875	23,75	PALMAS
0112600101	90460	CONECTOR GRAMPO LINHA VIVA COBR 2-1/0AWG/8-2/0AWG 100A	UN	0	1	84,655	84,655	PALMAS
0112600101	90462	HASTE ATERRAMENTO CIRC S/RSC 2400MM 14,3MM 0.254MMM	UN	0	5	114,76	573,8	PALMAS
0112600101	90490	CONECTOR ATERR CUNHA COBRE CB/HST 16-25MM2 14,3MM	UN	5	5	15,185	75,925	PALMAS
0112600101	90498	ELO FUSIVEL DISTRIBUICAO TIPO H 1A 500MM	UN	0	1	6,07	6,07	PALMAS
0112600101	90587	CONECTOR DERIV PERF RDP CB/CB 15,0KV 70-185MM2/70-185MM2	PC	2	0	109,81	0	PALMAS
0112600101	90638	HASTE ATERRAMENTO CIRC C/RSC 2400MM 14,3MM 0.254MMM	UN	5	0	113,6833	0	PALMAS
0112600101	90797	CONECTOR CUNHA ALUM CN-13 6,55-10,11/5,18-8,38MM VRM	UN	2	2	6,775	13,55	PALMAS
0112600101	90826	CONEC TERM CPR CB/BAR RT RLD ALUM 1F 7,70-8,60MM 85X23MM	UN	0	2	4,89	9,78	PALMAS
0112600101	91217	CABO COBRE ISOLAD 450/750V BWF/PVC 10MM2 CL2/4/5 PRT	M	0	7	7,08	49,56	PALMAS
0112600101	92172	CONECTOR GRAMPO LINHA VIVA ALUM 34-170MM2/ESTRIBO 6,4MM 100A	UN	0	1	51,6737	51,6737	PALMAS
0112600103	90208	PARA-RAIOS DISTR BT POLIM 220V 10KA OX MT S/CENT RSI	UN	3	3	16,49	49,47	RIO SONO
0112600103	90212	PARA-RAIOS DISTR MT POLIM 30KV 10KA OX ZN S/CENT S/FERR	UN	3	3	182,19	546,57	RIO SONO
0112600103	90498	ELO FUSIVEL DISTRIBUICAO TIPO H 1A 500MM	UN	3	3	6,07	18,21	RIO SONO
0112600103	91198	TRANSF DISTR AER OVI 3F 34,5KV 380/220V 45KVA CL2 4TP	UN	1	1	14080,6	14080,6	RIO SONO
0112600107	35797	ELETRODUTO RIGIDO PVC PRETO BSP 1/2 	PC	1	1	7,22	7,22	SANTA TEREZA DO TOCANTINS
0112600107	90070	TRANSF DISTR AER OMI 1F 19,919KV 440/220V 25KVA CL2 5TP	UN	1	1	7717,245	7717,245	SANTA TEREZA DO TOCANTINS
0112600107	90208	PARA-RAIOS DISTR BT POLIM 220V 10KA OX MT S/CENT RSI	UN	2	2	16,49	32,98	SANTA TEREZA DO TOCANTINS
0112600107	90212	PARA-RAIOS DISTR MT POLIM 30KV 10KA OX ZN S/CENT S/FERR	UN	1	1	182,19	182,19	SANTA TEREZA DO TOCANTINS
0112600107	90255	CORDOALHA ACO CARB CL A 7 FIOS MR 6,4MM 1430DAN	M	7	0	3,5893	0	SANTA TEREZA DO TOCANTINS
0112600107	90257	CABO ACO COBREADO 1F LCA IACS53% 7X2,06MM 25MM2	KG	0	7	82,62	578,34	SANTA TEREZA DO TOCANTINS
0112600107	90266	CABO ALUM PROT SPL XLPE 1F 15,0KV 50MM2 BLOQ CNZ	M	1	1	5,97	5,97	SANTA TEREZA DO TOCANTINS
0112600107	90272	CABO ALUM MULTIPLEX 0,6/1,0KV XLPE 1F 1X1X10MM2+10MM2	M	1	0	1,9	0	SANTA TEREZA DO TOCANTINS
0112600107	90300	ARAME REDOND ACO-GALV DURA 2,77MM BWG12	KG	1	1	17,6989	17,6989	SANTA TEREZA DO TOCANTINS
0112600107	90340	CONECT TERM ESTRANG CB/BAR ALUM 1F 48X18MM 6.70-7.30MM	UN	2	0	19,62	0	SANTA TEREZA DO TOCANTINS
0112600107	90341	CONECT TERM ESTRANG CB/BAR ALUM 2F 106X22MM 9.00-9.70MM	UN	3	0	38,04	0	SANTA TEREZA DO TOCANTINS
0112600107	90353	CONECTOR DERIV PERF RSI CB/CB 1,0KV 16-120MM2/4,0-35MM2	UN	0	2	11,875	23,75	SANTA TEREZA DO TOCANTINS
0112600107	90471	CONEC DERIV CUNHA-RML COBR I 3,17-8,12/3,17-7,42MM CZ	UN	1	1	8,915	8,915	SANTA TEREZA DO TOCANTINS
0112600107	90497	ELO FUSIVEL DISTRIBUICAO TIPO H 0,5A 500MM	UN	1	0	5,1505	0	SANTA TEREZA DO TOCANTINS
0112600107	90498	ELO FUSIVEL DISTRIBUICAO TIPO H 1A 500MM	UN	0	1	6,07	6,07	SANTA TEREZA DO TOCANTINS
0112600107	90804	CONEC TERM CPR CB/BAR RT RLD ALUM 2F 3,09-4,10MM 145X25MM	UN	0	3	10,15	30,45	SANTA TEREZA DO TOCANTINS
0112600107	90826	CONEC TERM CPR CB/BAR RT RLD ALUM 1F 7,70-8,60MM 85X23MM	UN	0	2	4,89	9,78	SANTA TEREZA DO TOCANTINS
