num_obra	cod_material	descricao	und_medida	qtdprevista	qtdrealizada	val_material	val_requisitado	nome
0112600063	90208	PARA-RAIOS DISTR BT POLIM 220V 10KA OX MT S/CENT RSI	UN	3	3	16,49	49,47	TAQUARALTO
0112600063	90210	PARA-RAIOS DISTR MT POLIM 12KV 10KA OX ZN S/CENT S/FERR	UN	3	3	109,41	328,23	TAQUARALTO
0112600063	90353	CONECTOR DERIV PERF RSI CB/CB 1,0KV 16-120MM2/4,0-35MM2	UN	0	3	11,875	35,625	TAQUARALTO
0112600063	90587	CONECTOR DERIV PERF RDP CB/CB 15,0KV 70-185MM2/70-185MM2	PC	3	3	109,81	329,43	TAQUARALTO
0112600063	91085	TRANSF DISTR AER OVI 3F 13,8KV 380/220V 112,5KVA CL2 4TP	UN	0	1	20881,56	20881,56	TAQUARALTO
0112600063	91086	TRANSF DISTR AER OVI 3F 13,8KV 380/220V 75KVA CL2 4TP	UN	1	0	15294,88	0	TAQUARALTO
0112600171	90208	PARA-RAIOS DISTR BT POLIM 220V 10KA OX MT S/CENT RSI	UN	3	3	16,49	49,47	PALMAS
0112600171	90212	PARA-RAIOS DISTR MT POLIM 30KV 10KA OX ZN S/CENT S/FERR	UN	3	3	182,19	546,57	PALMAS
0112600171	90266	CABO ALUM PROT SPL XLPE 1F 15,0KV 50MM2 BLOQ CNZ	M	8	8	5,97	47,76	PALMAS
0112600171	90279	ISOLADOR BASTAO POLIM ANCOR 36.2KV 550MM 745MM 50KN GO	UN	3	0	52,2258	0	PALMAS
0112600171	90341	CONECT TERM ESTRANG CB/BAR ALUM 2F 106X22MM 9.00-9.70MM	UN	4	4	38,04	152,16	PALMAS
0112600171	90353	CONECTOR DERIV PERF RSI CB/CB 1,0KV 16-120MM2/4,0-35MM2	UN	3	3	11,875	35,625	PALMAS
0112600171	90471	CONEC DERIV CUNHA-RML COBR I 3,17-8,12/3,17-7,42MM CZ	UN	1	1	8,915	8,915	PALMAS
0112600171	90498	ELO FUSIVEL DISTRIBUICAO TIPO H 1A 500MM	UN	3	0	6,07	0	PALMAS
0112600171	90797	CONECTOR CUNHA ALUM CN-13 6,55-10,11/5,18-8,38MM VRM	UN	1	1	6,775	6,775	PALMAS
0112600171	90826	CONEC TERM CPR CB/BAR RT RLD ALUM 1F 7,70-8,60MM 85X23MM	UN	6	0	4,89	0	PALMAS
0112600171	91197	TRANSF DISTR AER OVI 3F 34,5KV 380/220V 30KVA CL2 4TP	UN	1	1	13519,645	13519,645	PALMAS
0112600171	91217	CABO COBRE ISOLAD 450/750V BWF/PVC 10MM2 CL2/4/5 PRT	M	6	6	7,08	42,48	PALMAS
0112600242	90056	TRANSF DISTR AER OMI 3F 13,8KV 380/220V 112,5KVA CL2 4TP	UN	1	1	22003,225	22003,225	PALMAS
0112600242	90208	PARA-RAIOS DISTR BT POLIM 220V 10KA OX MT S/CENT RSI	UN	3	3	16,49	49,47	PALMAS
0112600242	90210	PARA-RAIOS DISTR MT POLIM 12KV 10KA OX ZN S/CENT S/FERR	UN	3	3	109,41	328,23	PALMAS
0112600242	90344	CONECT TERM ESTRANG CB/BAR ALUM 2F 137X33MM 15.40-17.00MM	UN	4	4	67,88	271,52	PALMAS
0112600242	90355	CONECTOR DERIV PERF RSI CB/CB 1,0KV 35-120MM2/10-35MM2	UN	3	3	10,855	32,565	PALMAS
0112600242	90471	CONEC DERIV CUNHA-RML COBR I 3,17-8,12/3,17-7,42MM CZ	UN	1	1	8,915	8,915	PALMAS
0112600242	90501	ELO FUSIVEL DISTRIBUICAO TIPO H 5A 500MM	UN	3	3	5,09	15,27	PALMAS
0112600242	90586	CAPA PROTETORA TRANSF MT PEAD 15/36,2KV 135X110MM	UN	3	3	11,26	33,78	PALMAS
0112600242	90826	CONEC TERM CPR CB/BAR RT RLD ALUM 1F 7,70-8,60MM 85X23MM	UN	6	6	4,89	29,34	PALMAS
0112600242	91217	CABO COBRE ISOLAD 450/750V BWF/PVC 10MM2 CL2/4/5 PRT	M	3	3	7,08	21,24	PALMAS
0112600271	90069	TRANSF DISTR AER OMI 1F 19,919KV 440/220V 15KVA CL2 5TP	UN	1	0	5819,26	0	PONTE ALTA DO TOCANTINS
0112600271	90208	PARA-RAIOS DISTR BT POLIM 220V 10KA OX MT S/CENT RSI	UN	2	2	16,49	32,98	PONTE ALTA DO TOCANTINS
0112600271	90212	PARA-RAIOS DISTR MT POLIM 30KV 10KA OX ZN S/CENT S/FERR	UN	1	1	182,19	182,19	PONTE ALTA DO TOCANTINS
0112600271	90266	CABO ALUM PROT SPL XLPE 1F 15,0KV 50MM2 BLOQ CNZ	M	2	2	5,97	11,94	PONTE ALTA DO TOCANTINS
0112600271	90345	CONEC DERIV CUNHA-ESTRIBO ALUM/COBR 5,88-8,01MM/2AWG VM	UN	1	1	29,56	29,56	PONTE ALTA DO TOCANTINS
0112600271	90353	CONECTOR DERIV PERF RSI CB/CB 1,0KV 16-120MM2/4,0-35MM2	UN	2	2	11,875	23,75	PONTE ALTA DO TOCANTINS
0112600271	90471	CONEC DERIV CUNHA-RML COBR I 3,17-8,12/3,17-7,42MM CZ	UN	1	1	8,915	8,915	PONTE ALTA DO TOCANTINS
0112600271	90498	ELO FUSIVEL DISTRIBUICAO TIPO H 1A 500MM	UN	1	1	6,07	6,07	PONTE ALTA DO TOCANTINS
0112600271	90805	CONEC TERM CPR CB/BAR RT RLD ALUM 2F 4,60-5,20MM 145X25MM	UN	3	3	10,05	30,15	PONTE ALTA DO TOCANTINS
0112600271	90826	CONEC TERM CPR CB/BAR RT RLD ALUM 1F 7,70-8,60MM 85X23MM	UN	2	2	4,89	9,78	PONTE ALTA DO TOCANTINS
0112600271	91217	CABO COBRE ISOLAD 450/750V BWF/PVC 10MM2 CL2/4/5 PRT	M	2	2	7,08	14,16	PONTE ALTA DO TOCANTINS
0112600271	91638	TRANSF DISTR AER OVI 1F 19,919KV 440/220V 15KVA CL2 5TP	UN	0	1	5819,26	5819,26	PONTE ALTA DO TOCANTINS
0112600307	90208	PARA-RAIOS DISTR BT POLIM 220V 10KA OX MT S/CENT RSI	UN	2	2	16,49	32,98	LIZARDA
0112600307	90212	PARA-RAIOS DISTR MT POLIM 30KV 10KA OX ZN S/CENT S/FERR	UN	1	1	182,19	182,19	LIZARDA
0112600307	90257	CABO ACO COBREADO 1F LCA IACS53% 7X2,06MM 25MM2	KG	3	3	82,62	247,86	LIZARDA
0112600307	90266	CABO ALUM PROT SPL XLPE 1F 15,0KV 50MM2 BLOQ CNZ	M	4	4	5,97	23,88	LIZARDA
0112600307	90300	ARAME REDOND ACO-GALV DURA 2,77MM BWG12	KG	0,1	0,1	17,6989	1,76989	LIZARDA
