conjunto;grupo;SS;trafo;ocorrencia;na_janela;dist_h;elemento_com_problema;classificacao;porque
SIM;Ausentes;ETO-RD-AG 00026/2026;5713185081;20264069071303;SIM;0;5701113014;COINCIDÊNCIA NUMÉRICA;"'TRAFO QUEIMADO ENC-RD-PS26/2026' — SS de outra unidade (ENC-RD-PS, não ETO-RD-AG); trafo queimado é 5701113014"
SIM;Fora da janela;DOLP-RD-PA 00026/2026;5700267059;20264069071303;SIM;0;5701113014;COINCIDÊNCIA NUMÉRICA;"mesma observação; prefixo ENC-RD-PS ≠ DOLP-RD-PA; trafo 5700267059 não citado"
SIM;Fora da janela;DOLP-RD-PA 00124/2026;5711933122;20264095769617;SIM;0;3303697059;TRAFO COM DEFEITO DECLARADO;"'trafo 5711933122 queimado que foi a causa do desarme da chave 303697059' — interrupção registrada na chave 3303697059 com causa NÃO IDENTIFICADA"
SIM;Fora da janela;ETO-RD-GR 00023/2026;5700005195;20264064909114;SIM;0;5710557001;COINCIDÊNCIA NUMÉRICA;"'NOTA: DG-RD-PO 23/2026' — outra unidade; trafo citado é 5710557001"
SIM;Ausentes;DG-RD-PO 00178/2026;5700861026;20264123782565;SIM;0;0300859026;TRAFO CITADO SEM DEFEITO;"'cabo partido na fase, proximo do trafo 5700861026' — trafo é referência de local; causa CONDUTOR AT PARTIDO registrada na chave 0300859026"
SIM;Fora da janela;ETO-RD-GR 00295/2026;5710173023;20264140485045;SIM;0;SS3532021;COINCIDÊNCIA NUMÉRICA;"'SS: DOLP-RD-PA 295/2026' — outra unidade; desligamento de RD AT sem citar trafo"
SIM;Fora da janela;ETO-RD-GR 00278/2026;5700216064;20264134663118;SIM;0;5703323122;COINCIDÊNCIA NUMÉRICA;"'Solicitação de Serviço : DOLP-RD-PA 278/2026' — outra unidade, Palmas (122) vs localidade 064"
SIM;Fora da janela;ETO-RD-GR 00387/2026;5700018155;20264202615842;SIM;0;8800777122;COINCIDÊNCIA NUMÉRICA;"'poste abalroado ... rdu palmas dolp-rd-pa 387/2026' — outra unidade, Palmas"
SIM;Fora da janela;ENC-RD-PS 00376/2026;5700368012;20264187035852;SIM;0;5700368084;TRAFO COM DEFEITO DECLARADO;"'foi localizado trafo 5700368012 queimado' — registrada contra 5700368084 / chave 0300802084 (causa TRANSFORMADOR QUEIMADO POR DESCARGA); 012 vs 084: um dos códigos está errado, a SS corrobora 012"
SIM;Fora da janela;ENC-RD-PS 00376/2026;5700368012;20264188886835;SIM;0;5700368084;TRAFO COM DEFEITO DECLARADO;"'trafo 5700368012 queimado' — ocorrência inicia 18:46, SS aberta 18:48; registrada contra 5700368084"
SIM;Fora da janela;DOLP-RD-PA 00437/2026;5704106122;20264265816569;SIM;0;0321177013;COINCIDÊNCIA NUMÉRICA;"'SS: ENC-RD-PS437/2026' — outra unidade; troca de poste na chave 0321177013 (localidade 013)"
